year,team,champion,ortg,drtg,seed,wins,mvp5,dpoy5,allstars,finals5,titles5,threept_pct,twopt_pct,ft_pct

1980,Lakers,1,109.5,103.9,1,60,1,0,3,0,0,0.313,0.507,0.765
1980,76ers,0,106.8,101.5,2,59,0,0,3,1,0,0.221,0.502,0.771

1981,Rockets,0,107.0,106.7,6,40,1,0,1,0,0,0.253,0.509,0.77
1981,Celtics,1,108.4,102.6,1,62,0,0,3,1,1,0.308,0.511,0.752

1982,Lakers,1,110.2,105.9,1,57,1,0,2,1,1,0.168,0.52,0.717
1982,76ers,0,109.6,103.9,2,58,1,0,2,1,0,0.247,0.508,0.759

1983,Lakers,0,110.5,105.4,1,58,1,0,2,1,1,0.138,0.535,0.74
1983,76ers,1,108.3,100.9,1,65,1,0,3,1,0,0.238,0.514,0.739

1984,Lakers,0,110.9,107.7,1,54,1,0,2,1,1,0.25,0.527,0.759
1984,Celtics,1,110.9,104.6,1,62,1,0,3,1,1,0.247,0.508,0.793

1985,Lakers,1,114.1,107.0,1,62,0,0,2,1,1,0.331,0.548,0.761
1985,Celtics,0,112.8,106.8,1,63,1,0,4,1,1,0.357,0.518,0.807

1986,Rockets,0,110.1,107.6,2,51,0,0,2,1,0,0.31,0.516,0.676
1986,Celtics,1,111.8,102.6,1,67,1,0,4,1,1,0.351,0.519,0.794

1987,Lakers,1,115.6,106.5,1,65,1,1,3,1,1,0.367,0.525,0.789
1987,Celtics,0,113.5,106.8,1,59,1,0,4,1,1,0.367,0.519,0.802

1988,Lakers,1,113.1,107.3,1,62,1,1,3,1,1,0.299,0.509,0.773
1988,Pistons,0,110.5,105.3,2,54,0,0,2,0,0,0.307,0.486,0.745

1989,Lakers,0,113.8,107.8,1,57,1,1,3,1,1,0.315,0.503,0.768
1989,Pistons,1,110.8,104.7,1,63,0,0,2,1,0,0.313,0.488,0.757

1990,Trail Blazers,0,111.5,106.0,1,59,0,0,2,1,0,0.385,0.510,0.766
1990,Pistons,1,110.8,104.3,1,59,0,1,2,1,0,0.331,0.487,0.747

1991,Lakers,0,111.4,106.6,2,58,1,1,2,1,1,0.366,0.500,0.777
1991,Bulls,1,114.4,104.5,1,61,1,1,2,0,0,0.348,0.515,0.765

1992,Trail Blazers,0,113.2,107.5,1,57,0,0,2,1,0,0.380,0.513,0.774
1992,Bulls,1,115.5,104.5,1,67,1,1,2,1,1,0.381,0.522,0.764

1993,Suns,0,115.3,108.2,1,62,1,0,3,0,0,0.352,0.523,0.777
1993,Bulls,1,114.9,106.1,2,57,1,1,2,1,1,0.381,0.515,0.762

1994,Rockets,1,114.3,103.7,2,58,1,1,2,0,0,0.363,0.505,0.749
1994,Knicks,0,106.7,101.8,2,57,0,1,2,0,0,0.333,0.484,0.744

1995,Rockets,1,109.7,108.3,6,47,1,1,2,1,1,0.368,0.503,0.742
1995,Magic,0,115.1,108.4,1,57,0,0,3,0,0,0.370,0.526,0.728

1996,SuperSonics,0,111.2,102.1,1,64,0,1,2,0,0,0.364,0.522,0.732
1996,Bulls,1,115.2,101.8,1,72,1,1,2,1,1,0.403,0.501,0.746

1997,Jazz,0,113.6,104.0,1,64,1,0,2,0,0,0.370,0.511,0.768
1997,Bulls,1,114.4,102.4,1,69,1,1,2,1,1,0.373,0.502,0.747

1998,Jazz,0,112.7,105.4,1,62,1,0,1,1,0,0.368,0.510,0.768
1998,Bulls,1,107.7,99.8,1,62,1,1,2,1,1,0.323,0.488,0.743

1999,Spurs,1,104.0,95.0,1,37,0,0,2,0,0,0.330,0.489,0.690
1999,Knicks,0,99.3,98.2,8,27,0,0,1,0,0,0.353,0.457,0.761

2000,Lakers,1,107.3,98.2,1,67,1,0,2,0,0,0.329,0.495,0.683
2000,Pacers,0,108.5,103.6,1,56,0,0,2,0,0,0.391,0.482,0.806

2001,Lakers,1,108.4,104.8,2,56,1,0,2,1,1,0.344,0.501,0.683
2001,76ers,0,103.6,98.9,1,56,1,1,1,0,0,0.326,0.451,0.745

2002,Lakers,1,109.4,101.7,3,58,1,0,2,1,1,0.354,0.504,0.692
2002,Nets,0,104.0,99.5,1,52,0,0,1,0,0,0.359,0.475,0.744

2003,Spurs,1,105.6,99.7,1,60,1,0,2,1,1,0.354,0.474,0.725
2003,Nets,0,103.6,98.1,2,49,0,0,2,1,0,0.356,0.463,0.741

2004,Lakers,0,105.5,101.3,2,56,1,0,4,1,1,0.327,0.480,0.692
2004,Pistons,1,102.0,95.4,3,54,0,1,1,0,0,0.344,0.457,0.753

2005,Spurs,1,107.5,98.8,2,59,1,1,2,1,1,0.363,0.485,0.724
2005,Pistons,0,106.0,101.2,2,54,0,1,4,1,1,0.345,0.466,0.739

2006,Mavericks,0,111.8,105.0,4,60,0,0,1,0,0,0.375,0.488,0.751
2006,Heat,1,108.7,104.5,2,52,1,0,2,0,0,0.345,0.492,0.700

2007,Spurs,1,109.2,99.9,3,58,1,1,2,1,1,0.381,0.489,0.751
2007,Cavaliers,0,103.6,98.9,2,50,0,0,1,0,0,0.352,0.468,0.696

2008,Lakers,0,113.0,104.8,1,57,1,0,2,1,1,0.378,0.512,0.775
2008,Celtics,1,110.2,98.9,1,66,1,1,3,0,0,0.381,0.504,0.771

2009,Lakers,1,112.8,104.7,1,65,1,0,2,1,0,0.361,0.520,0.770
2009,Magic,0,109.2,101.9,3,59,0,1,3,0,0,0.381,0.503,0.715

2010,Lakers,1,108.8,103.7,1,57,1,0,2,1,1,0.341,0.494,0.765
2010,Celtics,0,107.7,103.8,4,50,1,1,3,1,1,0.348,0.497,0.746

2011,Mavericks,1,109.7,105.0,3,57,1,0,1,1,0,0.365,0.499,0.777
2011,Heat,0,111.7,103.5,2,58,1,0,3,0,0,0.370,0.511,0.769

2012,Thunder,0,109.8,103.2,2,47,0,0,2,0,0,0.358,0.509,0.806
2012,Heat,1,106.6,100.2,2,46,1,0,3,1,0,0.359,0.496,0.775

2013,Spurs,0,108.3,101.6,2,58,0,0,2,0,0,0.376,0.514,0.791
2013,Heat,1,112.3,103.7,1,66,1,0,3,1,1,0.396,0.552,0.754

2014,Spurs,1,110.5,102.4,1,62,0,0,1,1,0,0.397,0.520,0.785
2014,Heat,0,109.0,102.9,2,54,1,0,3,1,1,0.364,0.552,0.760

2015,Warriors,1,111.6,101.4,1,67,1,0,2,0,0,0.398,0.514,0.768
2015,Cavaliers,0,111.1,106.3,2,53,1,0,2,0,0,0.367,0.495,0.751

2016,Warriors,0,114.5,103.8,1,73,1,0,3,1,1,0.416,0.528,0.763
2016,Cavaliers,1,110.9,104.5,1,57,1,0,3,1,0,0.363,0.516,0.748

2017,Warriors,1,115.6,104.0,1,67,1,1,4,1,1,0.383,0.557,0.788
2017,Cavaliers,0,113.6,110.3,2,51,1,0,3,1,1,0.384,0.547,0.748

2018,Warriors,1,113.6,107.6,2,58,1,1,4,1,1,0.391,0.560,0.815
2018,Cavaliers,0,112.9,111.9,4,50,1,0,2,1,1,0.372,0.540,0.779

2019,Warriors,0,115.9,109.5,1,57,1,1,3,1,1,0.385,0.565,0.801
2019,Raptors,1,113.1,107.1,2,58,0,1,2,0,0,0.366,0.541,0.804

2020,Lakers,1,112.0,106.3,1,52,1,1,2,0,0,0.349,0.550,0.729
2020,Heat,0,112.5,109.5,5,44,0,0,2,0,0,0.379,0.547,0.783

2021,Suns,0,117.2,111.3,2,51,0,0,2,0,0,0.378,0.549,0.834
2021,Bucks,1,117.2,111.4,3,46,1,1,2,0,0,0.389,0.565,0.760

2022,Warriors,1,112.5,106.9,3,53,1,1,2,1,1,0.364,0.552,0.769
2022,Celtics,0,114.4,106.9,2,51,0,1,2,0,0,0.356,0.547,0.816

2023,Nuggets,1,117.6,114.2,1,53,1,0,1,0,0,0.379,0.569,0.751
2023,Heat,0,113.0,113.3,8,44,0,0,2,1,0,0.344,0.541,0.831

2024,Mavericks,0,117.6,115.4,5,50,0,0,2,0,0,0.369,0.562,0.758
2024,Celtics,1,123.2,111.6,1,64,0,1,2,1,0,0.388,0.575,0.807

2025,Thunder,1,120.3,107.5,1,68,1,0,2,0,0,0.374,0.560,0.819
2025,Pacers,0,116.5,114.3,4,50,0,0,2,0,0,0.368,0.552,0.787

2026,Spurs,,119.6,111.3,2,62,0,1,2,0,0,0.381,0.556,0.782
2026,Knicks,,119.8,113.3,1,53,0,0,2,0,0,0.372,0.548,0.801